Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Country A,N_A,%R_A,MIC50_A,MIC90_A,GeoMean_A,Modal_A,Skew_A,Country B,N_B,%R_B,MIC50_B,MIC90_B,GeoMean_B,Modal_B,Skew_B,%R difference (pp),GeoMean gap (log2 steps),Modal MIC differs?,Min N
Haemophilus influenzae,AXO,Ceftriaxone,high,Philippines,59,0.0,0.015,0.015,0.0152,0.015,7.484,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,3.16,True,59
Haemophilus influenzae,AXO,Ceftriaxone,high,Costa Rica,52,0.0,0.015,0.015,0.0152,0.015,7.001,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,3.16,True,52
Haemophilus influenzae,AXO,Ceftriaxone,high,Chile,77,0.0,0.015,0.015,0.0155,0.015,5.96,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,3.132,True,77
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Argentina,95,1.05,0.03,0.5,0.0471,0.015,1.109,Tunisia,79,8.86,1.0,1.0,0.4116,1.0,-1.229,7.81,3.127,True,79
Haemophilus influenzae,AXO,Ceftriaxone,high,Ukraine,99,0.0,0.015,0.015,0.0161,0.015,3.432,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,3.077,True,89
Haemophilus influenzae,AXO,Ceftriaxone,high,Pakistan,122,0.0,0.015,0.015,0.0167,0.015,4.733,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,3.025,True,89
Haemophilus influenzae,AXO,Ceftriaxone,high,Turkey,239,0.0,0.015,0.015,0.0169,0.015,4.774,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,3.007,True,89
Haemophilus influenzae,AXO,Ceftriaxone,high,Argentina,89,0.0,0.015,0.03,0.017,0.015,6.772,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,2.999,True,89
Haemophilus influenzae,AXO,Ceftriaxone,high,Cambodia,30,0.0,0.015,0.015,0.0176,0.015,2.897,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,2.949,True,30
Haemophilus influenzae,AXO,Ceftriaxone,high,Saudi Arabia,55,0.0,0.015,0.03,0.0179,0.015,4.453,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,2.925,True,55
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Tunisia,79,8.86,1.0,1.0,0.4116,1.0,-1.229,Ukraine,78,1.28,0.03,0.5,0.0544,0.03,1.099,7.58,2.92,True,78
Haemophilus influenzae,AXO,Ceftriaxone,high,Tunisia,74,0.0,0.015,0.015,0.0186,0.015,4.365,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,2.869,True,74
Haemophilus influenzae,AXO,Ceftriaxone,high,Singapore,80,0.0,0.015,0.03,0.019,0.015,2.661,Vietnam,89,0.0,0.12,0.25,0.1359,0.12,-0.176,0.0,2.838,True,80
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Argentina,95,7.37,0.03,2.0,0.0602,0.015,1.519,Kenya,44,9.09,0.5,2.0,0.3592,1.0,-0.126,1.72,2.577,True,44
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Argentina,95,7.37,0.03,2.0,0.058,0.015,1.552,Kenya,44,9.09,0.5,2.0,0.3268,1.0,-0.084,1.72,2.494,True,44
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Argentina,95,1.05,0.03,0.5,0.0471,0.015,1.109,Kenya,44,4.55,0.25,1.0,0.2495,1.0,-0.514,3.5,2.405,True,44
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Kenya,44,4.55,0.25,1.0,0.2495,1.0,-0.514,Ukraine,78,1.28,0.03,0.5,0.0544,0.03,1.099,3.27,2.197,True,44
